Data,ipca,ipca-mas,ipca-ma,ipca-ex,ipca-ex2,ipca-dp,ipc-br-core
11/2005,"0,55","0,51","0,49","0,27","0,41","0,47","0,31"
12/2005,"0,36","0,43","0,33","0,3","0,31","0,32","0,36"
01/2006,"0,59","0,61","0,61","0,87","0,54","0,65","0,44"
02/2006,"0,41","0,49","0,42","0,71","0,52","0,39","0,29"
03/2006,"0,43","0,45","0,3","0,53","0,23","0,29","0,25"
04/2006,"0,21","0,41","0,19","0,22","0,3","0,24","0,32"
05/2006,"0,1","0,47","0,24","-0,03","0,3","0,26","0,22"
06/2006,"-0,21","0,3","0,07","-0,16","0,11","0,01","0,04"
07/2006,"0,19","0,29","0,2","0,14","0,16","0,22","0,11"
08/2006,"0,05","0,23",0,"0,13","0,08","0,15","0,13"
09/2006,"0,21","0,32","0,13","0,23","0,24","0,25","0,24"
10/2006,"0,33","0,32","0,19","0,29","0,26","0,31","0,17"
11/2006,"0,31","0,27","0,12","0,23","0,19","0,23","0,26"
12/2006,"0,48","0,38","0,27","0,35","0,57","0,55","0,31"
01/2007,"0,44","0,39","0,35","0,42","0,41","0,48","0,26"
02/2007,"0,44","0,24","0,22","0,52","0,48","0,36","0,16"
03/2007,"0,37","0,29","0,24","0,23","0,25","0,33","0,27"
04/2007,"0,25","0,29","0,28","0,29","0,28","0,33","0,32"
05/2007,"0,28","0,3","0,3","0,33","0,33","0,36","0,3"
06/2007,"0,28","0,34","0,23","0,22","0,25","0,36","0,34"
07/2007,"0,24","0,2","0,17","0,08","0,06","0,2","0,26"
08/2007,"0,47","0,4","0,43","0,35","0,37","0,44","0,37"
09/2007,"0,18","0,34","0,19","0,25","0,21","0,3","0,24"
10/2007,"0,3","0,43","0,35","0,4","0,28","0,37","0,24"
11/2007,"0,38","0,36","0,35","0,37","0,3","0,4","0,25"
12/2007,"0,74","0,4","0,45","0,59","0,39","0,57","0,25"
01/2008,"0,54","0,37","0,41","0,4","0,41","0,51","0,36"
02/2008,"0,49","0,27","0,36","0,69","0,6","0,46","0,15"
03/2008,"0,48","0,39","0,41","0,36","0,46","0,47","0,31"
04/2008,"0,55","0,48","0,41","0,53","0,57","0,55","0,38"
05/2008,"0,79","0,5","0,55","0,68","0,64","0,7","0,44"
06/2008,"0,74","0,49","0,48","0,55","0,5","0,64","0,44"
07/2008,"0,53","0,36","0,43","0,39","0,44","0,54","0,3"
08/2008,"0,28","0,36","0,42","0,5","0,46","0,48","0,3"
09/2008,"0,26","0,45","0,41","0,62","0,42","0,51","0,22"
10/2008,"0,45","0,37","0,32","0,51","0,42","0,45","0,31"
11/2008,"0,36","0,35","0,28","0,36","0,31","0,31","0,45"
12/2008,"0,28","0,33","0,33","0,33","0,34","0,3","0,34"
01/2009,"0,48","0,42","0,44","0,27","0,45","0,4","0,35"
02/2009,"0,55","0,29","0,27","0,88","0,7","0,5","0,33"
03/2009,"0,2","0,35","0,21","0,25","0,23","0,28","0,39"
04/2009,"0,48","0,35","0,27","0,58","0,56","0,49","0,36"
05/2009,"0,47","0,44","0,39","0,56","0,54","0,48","0,37"
06/2009,"0,36","0,39","0,28","0,32","0,27","0,37","0,23"
07/2009,"0,24","0,3","0,21","0,23","0,29","0,29","0,29"
08/2009,"0,15","0,25","0,18","0,29","0,21","0,23","0,19"
09/2009,"0,24","0,39","0,31","0,35","0,31","0,39","0,28"
10/2009,"0,28","0,31","0,28","0,33","0,24","0,33","0,27"
11/2009,"0,41","0,37","0,36","0,42","0,37","0,4","0,25"
12/2009,"0,37","0,41","0,34","0,44","0,46","0,47","0,33"
01/2010,"0,75","0,48","0,52","0,58","0,59","0,6","0,47"
02/2010,"0,78","0,39","0,45","0,86","0,68","0,47","0,41"
03/2010,"0,52","0,46","0,35","0,46","0,42","0,4","0,42"
04/2010,"0,57","0,5","0,34","0,43","0,42","0,42","0,47"
05/2010,"0,43","0,62","0,53","0,62","0,56","0,57","0,47"
06/2010,0,"0,4","0,26","0,4","0,36","0,29","0,37"
07/2010,"0,01","0,25","0,16","0,2","0,24","0,2","0,28"
08/2010,"0,04","0,33","0,2","0,24","0,12","0,19","0,26"
09/2010,"0,45","0,43","0,33","0,34","0,37","0,39","0,52"
10/2010,"0,75","0,55","0,54","0,55","0,44","0,58","0,41"
11/2010,"0,83","0,56","0,59","0,57","0,52","0,66","0,43"
